2022-03-11 16:56:29 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2022-03-11 16:56:29 0 [Note] InnoDB: Uses event mutexes
2022-03-11 16:56:29 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-03-11 16:56:29 0 [Note] InnoDB: Number of pools: 1
2022-03-11 16:56:29 0 [Note] InnoDB: Using SSE2 crc32 instructions
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 925527
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=323] with future log sequence number 925527
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=72, page number=4] with future log sequence number 900131
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=319] with future log sequence number 925371
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=72, page number=3] with future log sequence number 898286
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=72, page number=2] with future log sequence number 900131
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=72, page number=1] with future log sequence number 899839
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=313] with future log sequence number 925215
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=312] with future log sequence number 925160
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=71, page number=4] with future log sequence number 894998
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=300] with future log sequence number 927973
2022-03-11 16:56:29 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=435] with future log sequence number 927973
